,Nombre,Descripción,Tipo,tags,link contenido,link del del thumbnail,file_name
1,¿Qué es el asma?,"El asma es una enfermedad respiratoria crónica que puede afectar significativamente la calidad de vida si no se reconoce y trata adecuadamente. Conocer qué es, cuáles son sus síntomas, cómo se diagnostica y las opciones de tratamiento es fundamental… descubre en esta infografía la información clave para entenderla y controlarla mejor.",Infografia,#asma #sibilancias #tos #diagnósticoasma,https://drive.google.com/file/d/100Gy-5_cko7px3DOXl6NHfRAv4dDcZhs/view?usp=share_link,,que-es-el-asma.pdf
2,Flujometría ,"La flujometría es una herramienta sencilla y práctica que permite medir el flujo de aire al exhalar, ayudando a monitorear el estado de las vías respiratorias en pacientes con asma. Su uso regular facilita detectar cambios tempranos y ajustar el tratamiento de forma oportuna… descubre cómo puede ayudarte a tener un mejor control de la enfermedad.",Infografía,#flujometría #asma #controldelasma #flujometro,https://drive.google.com/file/d/1aZ_UA4BMVgQ82HMwA52utT7KLnY0tne2/view?usp=share_link,,flujometria.pdf
3,Plan de acción,"El plan de acción en asma es una guía personalizada que ayuda al paciente a reconocer sus síntomas, monitorear su enfermedad y saber exactamente qué hacer en cada momento. Permite actuar de forma oportuna ante cambios en el estado respiratorio… descubre cómo puede darte mayor control y seguridad en el manejo del asma.",Infografía,#asma #plandeaccion #diariodesintomas #crisisasmatica #ataquedeasma,https://drive.google.com/file/d/1trW40KZd_DlQsTUxplBC7E2xzvZARBGO/view?usp=share_link,,plan-de-accion.pdf
4,Terapia smart,"La terapia SMART en asma es una estrategia innovadora que utiliza un solo inhalador tanto para el control diario como para el alivio de los síntomas. Esto simplifica el tratamiento y mejora la adherencia, permitiendo un mejor control de la enfermedad… descubre cómo funciona y en qué pacientes está indicada. ",Infografia,#terapiasmart #asma #tratamientoasma,https://drive.google.com/file/d/196HPP5_67yg3emgAcbZTXrhxbBCZU1nO/view?usp=share_link,,terapia-smart.pdf
5,Complicaciones respiratorias de la artritis reumatoide,"La artritis reumatoide no solo afecta las articulaciones, también puede tener impacto en los pulmones y la función respiratoria. Conocer sus posibles complicaciones pulmonares es clave para un diagnóstico oportuno y un manejo integral… descubre cómo identificarlas y qué hacer para prevenirlas",Infografía,#artritisreumatoide #complicacionesrespiratoriasdeartritisreumatoide #bronquiectasias,https://drive.google.com/file/d/1Xmlzlj83mMuBNHhsXOMEw_WFo0fXZQ5t/view?usp=share_link,,complicaciones-respiratorias-de-la-artritis-reumatoide.pdf
6,Complicaciones respiratorias de la esclerosis sistémica,"La esclerosis sistémica es una enfermedad autoinmune que puede afectar múltiples órganos, incluyendo los pulmones. Sus complicaciones respiratorias pueden ser graves si no se detectan a tiempo… descubre cuáles son, cómo identificarlas y qué hacer para un manejo oportuno y efectivo.",Infografía,#esclerodermia #esclerosisistémica,https://drive.google.com/file/d/1mpUA1nHxa1AmU8orhshRhnfLguoPM3u5/view?usp=share_link,,complicaciones-respiratorias-de-la-esclerosis-sistemica.pdf
7,Cuidados paliativos en enfermedades respiratorias,"En las enfermedades respiratorias avanzadas, el enfoque no solo es tratar la enfermedad, sino mejorar la calidad de vida. Los cuidados paliativos ayudan a aliviar síntomas como la disnea, el dolor y la ansiedad, brindando un acompañamiento integral al paciente y su familia… descubre cómo pueden hacer una gran diferencia en cada etapa de la enfermedad.",Infografía,#Cuidadospaliativos #cuidadospaliativos #paliacióndesintomas,https://drive.google.com/file/d/1uR0kgyziemll99TjoL3w4pq0H9wQzlBO/view?usp=share_link,,cuidados-paliativos-en-enfermedades-respiratorias.pdf
8,Fibrosis pulmonar idiopática,"La fibrosis pulmonar idiopática es una enfermedad crónica y progresiva que afecta la capacidad de los pulmones para intercambiar oxígeno. Detectarla a tiempo y comprender su evolución es fundamental para un manejo adecuado… descubre sus síntomas, cómo se diagnostica y las opciones actuales de tratamiento.",Inforgrafía,"#fibrosispulmonar #fibrosispulmonaridiopática #fpi ""ILD #enfermedadpulmonarintersticial",https://drive.google.com/file/d/1DvJnSaInXadNW3esUyiu4lxydh8sc8ri/view?usp=share_link,,fibrosis-pulmonar-idiopatica.pdf
9,Neumonitis por hipersensibilidad,"La neumonitis por hipersensibilidad es una enfermedad pulmonar causada por la inhalación repetida de sustancias orgánicas que generan una reacción inflamatoria en los pulmones. Identificar a tiempo los factores desencadenantes es clave para evitar su progresión… descubre sus síntomas, cómo se diagnostica y qué medidas pueden proteger tu salud respiratoria. ",Infografía,#neumonitisporhipersensibilidad #enfermedadpulmonarintersticial #ILD #fibrosispulmonar #Pulmóndelgranjero ,https://drive.google.com/file/d/1hhT3MebLjXvqxKIMgQSX5gAf6I5COlRB/view?usp=share_link,,neumonitis-por-hipersensibilidad.pdf
10,Recomendaciones para pacientes tratados con Nintedanib,"El nintedanib es un antifibrótico clave en el tratamiento de diversas enfermedades pulmonares fibrosantes, como la fibrosis pulmonar idiopática, la fibrosis pulmonar progresiva y la asociada a esclerosis sistémica. Su uso puede ayudar a enlentecer la progresión de la enfermedad… descubre cómo actúa y en qué pacientes está indicado.
Importante: Este medicamento debe ser prescrito y supervisado por un médico especialista.",Infografía,#fibrosispulmonar #tratamientodelafibrosispulmonar #nintedanib #antifibrótico #diarrea,https://drive.google.com/file/d/19765Rnf58uMM29TtWNw3bzPDqMCKPYlp/view?usp=share_link,,recomendaciones-para-pacientes-tratados-con-nintedanib.pdf
